,Id,Name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14888,14888,MADBelgianWaffles,Yes,No,3.8,12,Electronic City,Dessert Parlor,NA,Desserts,250,Desserts
14889,14889,ApsaraIceCream,No,No,4.0,67,Electronic City,Dessert Parlor,"Panipuri, Cheesecake, Guava Ice Cream, Almond Ice Cream","Ice Cream, Desserts",200,Desserts
14890,14890,ThePlatonicCafe,Yes,No,0.0,0,Electronic City,Cafe,NA,"Cafe, Beverages",500,Desserts
14893,14893,ThancosNaturalIceCreams,Yes,No,3.7,54,Electronic City,Dessert Parlor,Belgian Chocolate,"Ice Cream, Desserts",450,Desserts
14894,14894,BaskinRobbins,Yes,No,3.8,108,Electronic City,Food Court,NA,"Ice Cream, Desserts",250,Desserts
14895,14895,FrozenBottle,Yes,No,4.1,209,Electronic City,"Beverage Shop, Dessert Parlor","Chips, Ferrero Rocher, Vanilla Ice Cream","Beverages, Desserts",400,Desserts
14896,14896,SweetChariot,Yes,No,3.0,60,Electronic City,Dessert Parlor,"Coffee, Mousse Cup","Bakery, Fast Food",500,Desserts
14898,14898,CafeCrumbz,No,No,3.3,4,Electronic City,"Cafe, Dessert Parlor",NA,"Cafe, Beverages, Fast Food",300,Desserts
14899,14899,MrMeetharam,Yes,No,3.3,7,Electronic City,Quick Bites,NA,"Mithai, Street Food",150,Desserts
14903,14903,PullaReddySweets,No,No,3.0,22,Electronic City,Dessert Parlor,NA,Mithai,250,Desserts
14904,14904,JustCakes,Yes,No,3.4,22,Electronic City,Bakery,NA,Bakery,350,Desserts
14905,14905,eatfit,Yes,No,0.0,0,Electronic City,"Takeaway, Delivery",NA,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Desserts
14907,14907,CakeZone,Yes,No,3.2,9,Electronic City,Bakery,NA,"Bakery, Desserts",500,Desserts
14910,14910,PanditJiSweetsNamkeen,Yes,No,3.6,13,Electronic City,Sweet Shop,NA,"Mithai, Street Food",300,Desserts
14911,14911,CakeMenu,Yes,No,3.3,23,Electronic City,Bakery,NA,Bakery,400,Desserts
14914,14914,BangaloreCakes,Yes,No,2.9,17,Electronic City,Bakery,NA,Bakery,250,Desserts
14915,14915,DonutCafe,Yes,No,3.9,163,Electronic City,"Dessert Parlor, Quick Bites","Donut, Brownie, Hot Chocolate, Sandwiches","Desserts, Fast Food",250,Desserts
14918,14918,TheFrenchLoaf,Yes,No,2.6,64,Electronic City,"Bakery, Quick Bites",Swiss Roll,"Bakery, Desserts, Sandwich",400,Desserts
14921,14921,MumbaiKulfi,Yes,No,3.7,61,Electronic City,Dessert Parlor,NA,"Ice Cream, Desserts",100,Desserts
14922,14922,ThePastryHouse,Yes,No,3.8,60,Electronic City,Bakery,NA,"Bakery, Desserts",400,Desserts
14932,14932,AdarshBakery,No,No,3.1,10,Electronic City,Bakery,NA,"Bakery, Fast Food",300,Desserts
14933,14933,FlyingCakes,Yes,No,3.1,127,Electronic City,Bakery,"Chocochip Cake, Butterscotch Cake","Bakery, Desserts",500,Desserts
14934,14934,RoyalIceberry,Yes,No,3.4,5,Electronic City,Dessert Parlor,NA,Desserts,200,Desserts
14936,14936,CafeHIGHRANGERS,Yes,No,3.3,4,Electronic City,Cafe,NA,"Cafe, Fast Food, Chinese",400,Desserts
14937,14937,BangaloreAgarwalBhavan,Yes,No,3.6,20,Electronic City,"Quick Bites, Sweet Shop",NA,"North Indian, Street Food, Mithai, Chinese",500,Desserts
14940,14940,CakeDilim,No,No,3.2,6,Electronic City,Bakery,NA,"Bakery, Desserts",400,Desserts
14943,14943,TheCakeLair,No,No,0.0,0,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Fast Food, Beverages",600,Desserts
14944,14944,Cakea,No,No,0.0,0,Electronic City,Delivery,NA,Bakery,300,Desserts
14947,14947,KulfiHouse,No,No,3.7,13,Electronic City,Dessert Parlor,NA,Ice Cream,200,Desserts
14950,14950,CoolBreak,No,No,3.4,11,Electronic City,Dessert Parlor,NA,"Desserts, Fast Food",150,Desserts
14952,14952,HappyCups,No,No,0.0,0,Electronic City,Quick Bites,NA,"Bakery, Cafe, Sandwich",300,Desserts
14953,14953,PoloScoops,No,No,3.2,4,Electronic City,Dessert Parlor,NA,Desserts,200,Desserts
14954,14954,LancySweets,No,No,3.7,16,Electronic City,Dessert Parlor,NA,Mithai,200,Desserts
14956,14956,TheChocolateRoom,Yes,No,2.8,44,Electronic City,Cafe,NA,"Cafe, Beverages",600,Desserts
14957,14957,SweetTruth,Yes,No,3.9,81,Electronic City,Delivery,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Pancakes, Gulab Jamun, Chocolava Cake","Bakery, Desserts",500,Desserts
14958,14958,TheBigBarbeque,No,Yes,4.7,544,Electronic City,Casual Dining,"Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap","BBQ, North Indian, Continental, Chinese",1500,Dine-out
